BusinessField,OCOPRating,Description,Name,Address,PhoneNumber
Mật ong rừng ,3,Tốt, Cơ sở kinh doanh mật ong rừng Mây          ," Xã An Tân, huyện An Lão, tỉnh Bình Định       ", 0982.829.979
Cam sành ,3,Tốt, Hộ Lê Văn Năng         ," Xã An Toàn, huyện An Lão, tỉnh Bình Định       ", 0917.533.044
Cau trái ,3,Tốt, Công ty TNHH Thương Mại Huệ Cư         ," Xã An Hòa, huyện An Lão, tỉnh Bình Định       ", 0988.749.549
Bưởi da xanh An Lão ,3,Tốt, HKD Đỗ Văn Minh         ," Thôn Vạn Khánh, xã An Hòa, huyện An Lão, tỉnh Bình Định       ", 0394.137.241
Thịt Bò An Lão ,3,Tốt, DNTN Vi Viên         ," Thôn 2, thị trấn An Lão, huyện An Lão, tỉnh Bình Định       ", 0977.867.451
Thịt Heo đen An lão ,3,Tốt, DNTN Vi Viên         ," Thôn 2, thị trấn An Lão, huyện An Lão, tỉnh Bình Định       ", 0977.867.451
Dứa An Toàn ,3,Tốt, HTX Nông dược và DVTH An Toàn         ," Thôn 1, xã An Toàn, huyện An Lão, tỉnh Bình Định       ", 0396.981.547
Trà thảo mộc Chè dây-Dạ Cẩm ,3,Tốt, HTX Nông dược và DVTH An Toàn         ," Thôn 1, xã An Toàn, huyện An Lão, tỉnh Bình Định       ", 0396.981.547
Trà thảo mộc INSULAC ,3,Tốt, HTX Nông dược và DVTH An Toàn         ," Thôn 1, xã An Toàn, huyện An Lão, tỉnh Bình Định       ", 0396.981.547
Cao uống thảo mộc Thắng Xịn ,3,Tốt, HTX Nông dược và DVTH An Toàn         ," Thôn 1, xã An Toàn, huyện An Lão, tỉnh Bình Định       ", 0396.981.547
Cao uống thảo mộc Kiện Vị ,3,Tốt, HTX Nông dược và DVTH An Toàn         ," Thôn 1, xã An Toàn, huyện An Lão, tỉnh Bình Định       ", 0396.981.547
Đồ gỗ mỹ nghệ Minh Thọ ,3,Tốt, Cơ sở Lê Minh Thọ         ," Thôn Hưng Nhương, xã An hòa, huyện An Lão, tỉnh Bình Định       ", 0988.196.145
Sản phẩm Đan lát của người BaNa ,3,Tốt, HKD Đinh Văn Nhiên         ," Thôn 2, xã An nghĩa, huyện An Lão, tỉnh Bình Định       ", 0379.716.410
Sản phẩm Đan lát của người Hre ,3,Tốt, HKD Đinh Trung Sơn         ," Thôn 5, xã An Vinh, huyện An Lão, tỉnh Bình Định       ", 0357.832.069
Chè Dây Trúc Quán,3,Tốt, Cơ Sở Trúc Quán         ," Xã An Hoà, huyện An Lão, tỉnh Bình Định       ", 0989.135.179
Mật Ong rừng An Toàn Trúc Quán,3,Tốt, Cơ Sở Trúc Quán         ," Xã An Hoà, huyện An Lão, tỉnh Bình Định       ", 0989.135.179
Mật Ong rừng Beest ,3,Tốt, Cơ Sở Mộc Thảo         ," Xã An Hoà, huyện An Lão, tỉnh Bình Định       ", 0976.573.290
Chả lụa Tài Yến ,3,Tốt, Cơ Sở Tài Yến         ," Xã An Tân, huyện An Lão, tỉnh Bình Định       ", 0965.811.199
Nấm Bào ngư Anh Thiết ,3,Tốt, Cơ Sở Anh Thiết         ," Xã An Tân, huyện An Lão, tỉnh Bình Định       ", 0389.605.193
