BusinessField,OCOPRating,Description,Name,Address,PhoneNumber
Trà Gò Loi ,3,Tốt, Hộ Nguyễn Hữu Oanh             ," Xã Ân Tường Tây, huyện Hoài Ân, tỉnh Bình Định       ", 0355.619.793
Bưởi Hoài Ân ,3,Tốt, Hộ Trần Thị Thu Thủy            ," Xã Ân Đức, huyện Hoài Ân, tỉnh Bình Định       ", 0988.475.006
Bưởi Hoài Ân ,3,Tốt, Hộ Tăng Doãn Kích           ," Xã Ân Thạnh, huyện Hoài Ân, tỉnh Bình Định       ", 0345.417.167
Bưởi Hoài Ân ,3,Tốt, Hộ Nguyễn Thị Dung          ," Xã Ân Đức, huyện Hoài Ân, tỉnh Bình Định       ", 0989.822.016
Nem chả ,3,Tốt, Cơ sở nem chả Ngọc Liễu         ," Thị trấn Tăng Bạt Hổ, huyện Hoài Ân, tỉnh Bình Định       ", 0972.677.159
Gạo SX theo hướng hữu cơ ,3,Tốt, HTX Nông nghiệp Ân Tín        ," Xã Ân Tín, huyện Hoài Ân, tỉnh Bình Định       ", 0563.874.175
Bún gạo khô Biên Thắm ,3,Tốt, HKD Bùi Thị Thu Thắm       ," Xã Ân Hảo Đông, huyện Hoài Ân, tỉnh Bình Định       ", 0979.367.749
Trà Gò Loi ,3,Tốt, HKD Lê Văn Dũng      ," Xã Ân Tường Tây, huyện Hoài Ân, tỉnh Bình Định       ", 0347.206.800
Trà Gò Loi ,3,Tốt, HKD Nguyễn Phước Cầu      ," Thị trấn Tăng Bạt Hổ, huyện Hoài Ân, tỉnh Bình Định       ", 0345.214.335
Nhang trầm hương ,4,Tốt, HKD Nguyễn Hữu Toàn      ," Xã Ân Mỹ, huyện Hoài Ân, tỉnh Bình Định       ", 0905.941.947
Mật ong dú Thành Tín ,3,Tốt, HKD Tô Vũ Thành Tín      ," Thôn Vạn Hội 1, xã Ân Tín, huyện Hoài Ân, tỉnh Bình Định       ", 0969.677.798
Bún khô KICAFOODS ,3,Tốt, Cơ sở sản xuất thực phẩm KICAFOODS      ," Thôn Hội Long, xã Ân Hảo Đông, huyện Hoài Ân, tỉnh Bình Định       ", 0985.692.156
Trà nụ hoa hòe ,3,Tốt, Công ty TNHH DULAH      ," Thôn Bình Hòa Bắc, xã Ân Hảo Đông, huyện Hoài Ân, tỉnh Bình Định       ", 0343.400.477
Dầu đậu phộng ,4,Tốt, Công ty TNHH DULAH      ," Thôn Bình Hòa Bắc, xã Ân Hảo Đông, huyện Hoài Ân, tỉnh Bình Định       ", 0343.400.477
Dầu mè đen ,4,Tốt, Công ty TNHH DULAH      ," Thôn Bình Hòa Bắc, xã Ân Hảo Đông, huyện Hoài Ân, tỉnh Bình Định       ", 0343.400.477
Thịt chim trĩ ,3,Tốt, Hộ kinh doanh Tô Vũ Thành Tín      ," Thôn Vạn Hội 1, xã Ân Tín, huyện Hoài Ân, tỉnh Bình Định       ", 0969.677.798
Trứng chim trĩ ,3,Tốt, Hộ kinh doanh Tô Vũ Thành Tín      ," Thôn Vạn Hội 1, xã Ân Tín, huyện Hoài Ân, tỉnh Bình Định       ", 0969.677.798
Thịt heo thảo mộc Ngọc Liễu ,3,Tốt, Công ty TNHH Bảo Châu Hoài Ân      ," Thôn Khoa Trường, xã Ân Đức, huyện Hoài Ân, tỉnh Bình Định       ", 0972.677.159
Mật ong bộng ông Hiểu Hoài Ân ,3,Tốt, Đại lý Hiểu Tâm      ," Thôn Thanh Lương, xã Ân Tín, huyện Hoài Ân, tỉnh Bình Định       ", 0986.694.388
Bún gạo lứt ,3,Tốt, Cơ sở sản xuất thực phẩm KICAFOODS      ," Thôn Hội Long, xã Ân Hảo Đông, huyện Hoài Ân, tỉnh Bình Định       ", 0985.013.802
Phở khô ,3,Tốt, Cơ sở sản xuất thực phẩm KICAFOODS      ," Thôn Hội Long, xã Ân Hảo Đông, huyện Hoài Ân, tỉnh Bình Định       ", 0985.013.802
Thanh cơm lứt ngũ cốc chà bông ,3,Tốt, Hộ kinh doanh Ái Nhi      ," Thôn Du Tự, thị trấn Tăng Bạt Hổ, huyện Hoài Ân, tỉnh Bình Định       ", 0968.065.067
Chả cá thác lác Ái Nhi ,3,Tốt, Hộ kinh doanh Ái Nhi      ," Thôn Du Tự, thị trấn Tăng Bạt Hổ, huyện Hoài Ân, tỉnh Bình Định       ", 0968.065.067
Chả ram tôm đất Ái Nhi ,3,Tốt, Hộ kinh doanh Ái Nhi      ," Thôn Du Tự, thị trấn Tăng Bạt Hổ, huyện Hoài Ân, tỉnh Bình Định       ", 0968.065.067
Bún gạo khô Phương Anh ,3,Tốt, Hộ kinh doanh Đào Thị Thức      ," Xã Ân Hảo Đông, huyện Hoài Ân, tỉnh Bình Định       ", 0978.830.742
