BusinessField,OCOPRating,Description,Name,Address,PhoneNumber
Nón ngự Phú Gia ,4,Tốt, Cơ sở Đỗ Văn Lan             ," Xã Cát Tường, huyện Phù Cát, tỉnh Bình Định       ", 0333.025.968   
Nước mắm ,3,Tốt, Cơ sở Thái An             ," Xã Cát Khánh, huyện Phù Cát, tỉnh Bình Định       ", 0967.660.669   
Trà cà gai leo ,3,Tốt, Cơ sở Bảo Khánh             ," Xã Cát Tân, huyện Phù Cát, tỉnh Bình Định       ", 0256.535.595  
Bánh cốm ,3,Tốt," Cơ sở bánh cốm, kẹo Phong Nga             "," Xã Cát Tường, huyện Phù Cát, tỉnh Bình Định       ", 0986.789.112
Bánh gạo lức nguyên hạt ,3,Tốt," Cơ sở bánh cốm, kẹo Phong Nga             "," Xã Cát Tường, huyện Phù Cát, tỉnh Bình Định       ", 0986.789.112
Bún phở Cô Phương ,3,Tốt, Cơ sở Hà Thị Hương            ," Thị Trấn Ngô Mây, huyện Phù Cát, tỉnh Bình Định       ", 0352.451.237
Dầu phộng ,3,Tốt, Cơ sở Công Chính            ," Xã Cát Tài, huyện Phù Cát, tỉnh Bình Định       ", 0397.199.425
"Con giống gà ta CK1-BĐ, CK2-BĐ, CK3-BĐ ",4,Tốt, Công ty TNHH giống gia cầm Cao Khanh            ," Xã Cát Tân, huyện Phù Cát, tỉnh Bình Định       ", 0979.804.151
Chả lụa Ngọc Nga ,3,Tốt, Cơ sở Ngọc Nga            ," Thôn Đức Phổ 1, xã Cát Minh, huyện Phù Cát, tỉnh Bình Định       ", 0985.246.837
Bột trái nhàu Bảo Khánh ,3,Tốt, Cơ sở Bảo Khánh            ," Thôn Bình Đức, xã Cát Tân, huyện Phù Cát, tỉnh Bình Định       ", 0986.895.595
Trà bí đao túi lọc Bảo Khánh ,3,Tốt, Cơ sở Bảo Khánh            ," Thôn Bình Đức, xã Cát Tân, huyện Phù Cát, tỉnh Bình Định       ", 0986.895.595
Bún gạo Cô Phương ,3,Tốt, Cơ sở Hà Thị Hương           ," Khu An Phong, thị trấn Ngô Mây, huyện Phù Cát, tỉnh Bình Định       ", 0352.451.237
Nem chua Ngọc Nga ,3,Tốt, Cơ sở Ngọc Nga          ," Thôn Đức Phổ 1, xã Cát Minh, huyện Phù Cát, tỉnh Bình Định       ", 0985.246.837
Chả lụa Bá Hà ,3,Tốt, Cơ sở Nem Chả Bá Hà          ," Thôn Đức Phổ 1, xã Cát Minh, huyện Phù Cát, tỉnh Bình Định       ", 0916.503.079
Trà xạ đen túi lọc Bảo Khánh ,3,Tốt, Cơ sở Bảo Khánh         ," Thôn Bình Đức, xã Cát Tân, huyện Phù Cát, tỉnh Bình Định       ", 0986.895.595
Xoài Cát Phù Cát ,3,Tốt, Hộ kinh doanh Nguyễn Ngọc         ," Thôn Tân Hóa Nam, xã Cát Hanh, huyện Phù Cát, tỉnh Bình Định       ", 0979.486.672
Bún hủ tiếu Cô Phương ,3,Tốt, Hộ kinh doanh Hà Thị Hương       ," Khu An Phong, thị trấn Ngô Mây, huyện Phù Cát, tỉnh Bình Định       ", 0352.451.237
Dầu mè Vân Nam ,3,Tốt, Cơ sở Vân Nam       ," Thôn Hưng Mỹ 1, xã Cát Hưng, huyện Phù Cát, tỉnh Bình Định       ", 0327.756.704
Dầu đậu phộng Vân Nam ,3,Tốt, Cơ sở Vân Nam       ," Thôn Hưng Mỹ 1, xã Cát Hưng, huyện Phù Cát, tỉnh Bình Định       ", 0327.756.704
Nấm Bào ngư ,3,Tốt, Hộ kinh doanh Trần Đình Hướng       ," Thôn Hòa Đại, xã Cát Hiệp, huyện Phù Cát, tỉnh Bình Định       ", 0935.147.721
Nấm rơm ,3,Tốt, Trang trại tổng hợp Phong Quang       ," Thôn Hòa Đại, xã Cát Hiệp, huyện Phù Cát, tỉnh Bình Định       ", 0982.533.779
Cá Điêu hồng ,3,Tốt, Hộ kinh doanh Nguyễn Văn Điều       ," Thôn Hưng Mỹ 2, xã Cát Hưng, huyện Phù Cát, tỉnh Bình Định       ", 0354.267.151
Cá Chua ,3,Tốt, Hộ kinh doanh Nguyễn Thị Ngọc Dương       ," Thôn Đức Phổ 1, xã Cát Minh, huyện Phù Cát, tỉnh Bình Định       ", 0989.787.530
