BusinessField,OCOPRating,Description,Name,Address,PhoneNumber
Chình mun muôi Châu Trúc ,3,Tốt, Hộ Võ Tuấn Tú             ," Xã Mỹ Châu, huyện Phù Mỹ, tỉnh Bình Định       ", 0983.100.427   
Nếp Bàu Chánh Trạch ,3,Tốt, Hội nông dân xã Mỹ Thọ            ," Xã Mỹ Thọ, huyện Phù Mỹ, tỉnh Bình Định       ", 0977.139.127   
Dầu lạc ,3,Tốt, HTX nông nghiệp Mỹ Hòa            ," Xã Mỹ Hòa, huyện Phù Mỹ, tỉnh Bình Định       ", 0982.074.465   
Muối Happing ,4,Tốt, Công ty Cổ phần Muối và Thực phẩm Bình Định            ," Thôn Trung Xuân, xã Mỹ Chánh, huyện Phù Mỹ, tỉnh Bình Định     ", 02563.759.933
Dưa lưới Bảo Hà Mỹ Hiệp ,3,Tốt, HKD Năm Long         ," Thôn Bình Tân Tây, xã Mỹ Hiệp, huyện Phù Mỹ, tỉnh Bình Định       ", 0969.011.363
Nấm Hoàng đế ,3,Tốt, HTX Nông nghiệp hữu cơ AgriBio         ," Thôn An Giang Đông, xã Mỹ Đức, huyện Phù Mỹ, tỉnh Bình Định       ", 0348.523.261
Cam sành núi ông Diệu ,3,Tốt, HKD Hồ Ngọc Thanh        ," Thôn Tân An, xã Mỹ Quang, huyện Phù Mỹ, tỉnh Bình Định       ", 0914.035.314
Ốc bươu đen ,3,Tốt, HKD Thái Thanh Trí        ," Thôn Đại Thuận, xã Mỹ Hiệp, huyện Phù Mỹ, tỉnh Bình Định       ", 0358.753.979
Phở gạo khô Minh Phúc Thịnh ,3,Tốt, Công ty TNHH sản xuất thực phẩm Minh Phúc Thịnh       ," Thôn Trà Thung, xã Mỹ Châu, huyện Phù Mỹ, tỉnh Bình Định       ", 0974.424.684
Bún số tám Nguyễn Châu ,3,Tốt, HKD Nguyễn Châu         ," Thôn Vĩnh Nhơn, xã Mỹ Tài, huyện Phù Mỹ, tỉnh Bình Định          ", 0392.366.991
Tương ớt Tiến Phát ,4,Tốt, Cơ sở sản xuất nước chấm Trung Hưng Nguyên         ," Thôn Trà Lương, xã Mỹ Trinh, huyện Phù Mỹ, tỉnh Bình Định          ", 0986.145.922
Nấm Bào ngư xám ,4,Tốt, HTX Nông nghiệp Hữu cơ Agribio         ," Thôn An Giang Đông, xã Mỹ Đức, huyện Phù Mỹ, tỉnh Bình Định          ", 0348.523.261
Nấm Hoàng đế ,4,Tốt, HTX Nông nghiệp Hữu cơ Agribio         ," Thôn An Giang Đông, xã Mỹ Đức, huyện Phù Mỹ, tỉnh Bình Định          ", 0348.523.261
Nấm Linh chi ,4,Tốt, HTX Nông nghiệp Hữu cơ Agribio         ," Thôn An Giang Đông, xã Mỹ Đức, huyện Phù Mỹ, tỉnh Bình Định          ", 0348.523.261
Muối ớt tôm Đề Gi ,4,Tốt, Công ty Cổ phần Muối và Thực phẩm Bình Định         ," Thôn Trung Xuân, xã Mỹ Chánh, huyện Phù Mỹ, tỉnh Bình Định          ", 02563.759.933
Muối tiêu rừng Măng Đen ,4,Tốt, Công ty Cổ phần Muối và Thực phẩm Bình Định         ," Thôn Trung Xuân, xã Mỹ Chánh, huyện Phù Mỹ, tỉnh Bình Định          ", 02563.759.933
Cá chua ,3,Tốt, Hộ kinh doanh Ngô Thanh Minh         ," Thôn An Mỹ, xã Mỹ Cát, huyện Phù Mỹ, tỉnh Bình Định          ", 0385.356.986
Cá bống tượng Mỹ Thắng ,3,Tốt, Hộ kinh doanh Nguyễn Phưởng        ," Thôn 11, xã Mỹ Thắng, huyện Phù Mỹ, tỉnh Bình Định          ", 0326.761.016
Tinh dầu tràm Hoàng Lâm ,3,Tốt, Hộ kinh doanh Hoàng Lâm        ," Thôn Hòa Hội Bắc, xã Mỹ Thành, huyện Phù Mỹ, tỉnh Bình Định          ", 0972.343.351
Hủ tiếu gạo khô Minh Phúc Thịnh ,3,Tốt, Công ty TNHH Sản xuất Thực phẩm Minh Phúc Thịnh        ," Thôn Trà Thung, Xã Mỹ Châu, huyện Phù Mỹ, tỉnh Bình Định          ", 0974.424.684
Nem chua Tây Phương ,3,Tốt, Cơ sở Nem chả Tây Phương        ," Thôn An Lạc Đông 1, thị trấn Phù Mỹ, huyện Phù Mỹ, tỉnh Bình Định          ", 0868.324.167
Chả lụa Tây Phương ,3,Tốt, Cơ sở Nem chả Tây Phương        ," Thôn An Lạc Đông 1, thị trấn Phù Mỹ, huyện Phù Mỹ, tỉnh Bình Định          ", 0868.324.167
