BusinessField,OCOPRating,Description,Name,Address,PhoneNumber
Rượu đậu xanh ,3,Tốt, Hộ Nguyễn Thành Lưu             ," Xã Bình Thành, huyện Tây Sơn, tỉnh Bình Định       ", 0981.143.479
Bánh ít lá gai ,3,Tốt, Cơ sở Hoàng Đông            ," Xã Tây Bình, Huyện Tây Sơn, tỉnh Bình Định       ", 0976.039.548
Rau an toàn ,3,Tốt, HTX nông nghiệp Thuận Nghĩa           ," Thị trấn Phú Phong, huyện Tây Sơn, tỉnh Bình Định       ", 02563.880.568
Dầu đậu phộng Thành Mười ,3,Tốt, HKD Nguyễn Thành Mười           ," Thôn Thuận Nhứt, xã Bình Thuận, huyện Tây Sơn, tỉnh Bình Định       ", 0984.240.436
Nem Lê Sang ,3,Tốt, Cơ sở Lê Văn Sang          ," 212 Đống Đa, TT Phú Phong, huyện Tây Sơn, tỉnh Bình Định       ", 0702.302.989
Tinh dầu tràm Xứ Nẫu ,3,Tốt, HKD Huỳnh Thị Thúy Hằng         ," Thôn Kiên Ngãi, xã Bình Thành, huyện Tây Sơn, tỉnh Bình Định       ", 0346.906.948
Nón lá Thuận Hạnh ,3,Tốt, Hội làng nghề nón lá Thuận Hạnh         ," Thôn Thuận Hạnh, xã Bình Thuận, huyện Tây Sơn, tỉnh Bình Định       ", 0985.786.089
Dầu đậu phộng Tân Lạc Việt ,4,Tốt, Công ty TNHH Đầu tư và Phát triển nông nghiệp Lạc Việt         ," 96/14 Trần Quang Diệu, thị trấn Phú Phong, huyện Tây Sơn, tỉnh Bình Định       ", 0906.209.208
Bưởi da xanh Mộng Hoa ,3,Tốt, Hộ kinh doanh Phan Thị Mộng Hoa        ," Thôn Hòa Sơn, xã Bình Tường, huyện Tây Sơn, tỉnh Bình Định       ", 0383.503.727
Bưởi da xanh Làng Cam ,3,Tốt, Hộ kinh doanh Anh Dũng       ," Thôn 1, xã Bình Nghi, huyện Tây Sơn, tỉnh Bình Định       ", 0974.293.872
Cam xoàn Làng Cam ,3,Tốt, Hộ kinh doanh Anh Dũng       ," Thôn 1, xã Bình Nghi, huyện Tây Sơn, tỉnh Bình Định       ", 0974.293.872
Quýt đường Làng Cam ,3,Tốt, Hộ kinh doanh Anh Dũng       ," Thôn 1, xã Bình Nghi, huyện Tây Sơn, tỉnh Bình Định       ", 0974.293.872
Bánh canh Rau củ VIDATA ,3,Tốt, Công ty TNHH MTV VITA       ," Thôn 1, xã Bình Nghi, huyện Tây Sơn, tỉnh Bình Định       ", 0908.591.488
Tré chua Tây Sơn ,3,Tốt, Cơ sở chế biến và kinh doanh thực phẩm Tây Sơn       ," Khối Phú Văn, thị trấn Phú Phong, huyện Tây Sơn, tỉnh Bình Định       ", 0986.284.454
Dầu mè Thượng Giang ,3,Tốt, HTX Nông nghiệp Thượng Giang       ," Thôn Thượng Giang 1, xã Tây Giang, huyện Tây Sơn, tỉnh Bình Định       ", 02563.884.367
Dầu phộng Thượng Giang ,3,Tốt, HTX Nông nghiệp Thượng Giang       ," Thôn Thượng Giang 1, xã Tây Giang, huyện Tây Sơn, tỉnh Bình Định       ", 02563.884.367
