BusinessField,OCOPRating,Description,Name,Address,PhoneNumber
Gà giống ,4,Tốt, Công ty TNHH giống gia cầm Minh Dư              ," Xã Phước Nghĩa, huyện Tuy Phước, tỉnh Bình Định       ", 0913.498.702
Nem chả chợ huyện ,3,Tốt, Cơ sở Bảy Liêm             ," Xã Phước Lộc, huyện Tuy Phước, tỉnh Bình Định       ", 0912.128.227
Bánh ít lá gai ,3,Tốt, Cơ sở Bà Dư          ," Thị trấn Tuy Phước, huyện Tuy Phước, tỉnh Bình Định       ", 0934.809.234
Rau an toàn ,3,Tốt, HTX Nông nghiệp Phước Hiệp          ," Xã Phước Hiệp, huyện Tuy Phước, tỉnh Bình Định       ", 02563.830.236
Hoa cúc chậu ,3,Tốt, Hộ Nguyễn Ngọc Tùng          ," Xã Phước Hiệp, huyện Tuy Phước, tỉnh Bình Định       ", 0932.553.652
Dưa Lê ,3,Tốt, Công ty TNHH Gia vị Nhiệt Đới         ," Xã Phước Hưng, huyện Tuy Phước, tỉnh Bình Định       ", 0935.361.299
Gạo quê Phước Hưng_ Gạo trắng BC15 ,3,Tốt, HTX nông nghiệp Phước Hưng       ," Thôn Tân Hội, xã Phước Hưng, huyện Tuy Phước, tỉnh Bình Định       ", 0913.789.615
Yến Sào Năm Công ,3,Tốt, HKD Lê Văn Công       ," Thôn Phụng Sơn, xã Phước Sơn, huyện Tuy Phước, tỉnh Bình Định       ", 0935.142.089
Thực phẩm bổ sung Rượu Đông trùng hạ thảo Lộc Tín ,3,Tốt, HTX Nông nghiệp hữu cơ Lộc Tín       ," Thôn Quảng Tín, xã Phước Lộc, huyện Tuy Phước, tỉnh Bình Định       ", 0905.527.879
Thực phẩm bổ sung Bột Diếp cá Đông trùng hạ thảo Lộc Tín ,3,Tốt, HTX Nông nghiệp hữu cơ Lộc Tín       ," Thôn Quảng Tín, xã Phước Lộc, huyện Tuy Phước, tỉnh Bình Định       ", 0905.527.879
Nấm Đông trùng hạ thảo tươi Lộc Tín ,3,Tốt, HTX Nông nghiệp hữu cơ Lộc Tín       ," Thôn Quảng Tín, xã Phước Lộc, huyện Tuy Phước, tỉnh Bình Định       ", 0905.527.879
Nấm Đông trùng hạ thảo khô Lộc Tín ,3,Tốt, HTX Nông nghiệp hữu cơ Lộc Tín       ," Thôn Quảng Tín, xã Phước Lộc, huyện Tuy Phước, tỉnh Bình Định       ", 0905.527.879
Bột Diếp cá Lộc Tín ,3,Tốt, HTX Nông nghiệp hữu cơ Lộc Tín       ," Thôn Quảng Tín, xã Phước Lộc, huyện Tuy Phước, tỉnh Bình Định       ", 0905.527.879
Yến sào Bảo Khánh ,3,Tốt, Hộ Kinh doanh Bảo Khánh       ," Thôn Lộc Ngãi, xã Phước Quang, huyện Tuy Phước, tỉnh Bình Định       ", 0972.229.577
Thịt Lươn đồng ,3,Tốt, HKD Sản xuất lươn giống Long Vinh      ," Thôn Thọ Nghĩa, xã Phước Nghĩa, huyện Tuy Phước, tỉnh Bình Định       ", 0914.433.803
