BusinessField,Description,OCOPRating,Name,Address,PhoneNumber
Nước Mắm ,Tốt,3,HTX sản xuất kinh doanh Hương Thanh              ," Xã Nhơn Lý, Thành phố Quy Nhơn, tỉnh Bình Định       ",0909.185.202
,,,,,
,,,,,
Hải sản khô ,Tốt,3,Cơ sở Thúy Trinh              ," 3D Tăng Bạt Hổ, thành phố Quy Nhơn, tỉnh Bình Định       ",0933.330.486
,,,,,
,,,,,
Hải sản khô ,Tốt,3,Cơ sở Mận Khoa              ," 58 Vũ Bảo, thành phố Quy Nhơn, tỉnh Bình Định       ", 0906.495.991
,,,,,
,,,,,
Hải sản khô ,Tốt,3,Cơ sở Phụng Nga             ," 62 Vũ Bảo, thành phố Quy Nhơn, tỉnh Bình Định       ", 0935.388.728
,,,,,
,,,,,
Cá cơm khô ,Tốt,3,HTX SXKD hải sản Hương Thanh – Nhơn Lý             ," Thôn Lý Hòa, xã Nhơn Lý, TP. Quy Nhơn, tỉnh Bình Định       ", 0909.185.202
,,,,,
,,,,,
Ruốc khô ,Tốt,3,HTX SXKD hải sản Hương Thanh – Nhơn Lý             ," Thôn Lý Hòa, xã Nhơn Lý, TP. Quy Nhơn, tỉnh Bình Định       ", 0909.185.202
,,,,,
,,,,,
Mực một nắng ,Tốt,3,HTX SXKD hải sản Hương Thanh – Nhơn Lý             ," Thôn Lý Hòa, xã Nhơn Lý, TP. Quy Nhơn, tỉnh Bình Định       ", 0909.185.202
,,,,,
,,,,,
Mắm ruốc ,Tốt,3, HTX SXKD hải sản Hương Thanh – Nhơn Lý             ," Thôn Lý Hòa, xã Nhơn Lý, TP. Quy Nhơn, tỉnh Bình Định       ", 0909.185.202
,,,,,
,,,,,
Bột ngũ cốc Khánh Giang ,Tốt,3, Cơ sở Ngũ cốc Khánh Giang             ," Tổ 3, KV7, phường Nhơn Phú, TP. Quy Nhơn, tỉnh Bình Định       ", 0333.121.024
,,,,,
,,,,,
Chả ram Tôm đất Hồng Hạnh ,Tốt,3, Cơ sở Chả ram Hồng Hạnh             ," 49/12 Phùng Khắc Khoan, TP. Quy Nhơn, tỉnh Bình Định       ", 0983.116.607
,,,,,
,,,,,
Yến sào Tôn Thủy ,Tốt,4, Công ty TNHH SX và TM Yến sào Tôn Thủy             ," 452 Bạch Đằng, thành phố Quy Nhơn, tỉnh Bình Định       ", 0983.729.758
,,,,,
,,,,,
"Tổ yến chưng mật ong, đường phèn ",Tốt,4, Công ty TNHH SX và TM Yến sào Tôn Thủy             ," 452 Bạch Đằng, thành phố Quy Nhơn, tỉnh Bình Định       ", 0983.729.758
,,,,,
,,,,,
Tổ yến chưng đường kiêng Isomailt ,Tốt,4, Công ty TNHH SX và TM Yến sào Tôn Thủy             ," 452 Bạch Đằng, thành phố Quy Nhơn, tỉnh Bình Định       ", 0983.729.758
,,,,,
,,,,,
"Tổ yến chưng sâm, mật ong ",Tốt,4, Công ty TNHH SX và TM Yến sào Tôn Thủy             ," 452 Bạch Đằng, thành phố Quy Nhơn, tỉnh Bình Định       ", 0983.729.758
,,,,,
,,,,,
"Tổ yến khô, Tổ yến tươi, Yến hũ ăn liền ",Tốt,4, Công ty TNHH Yến Quang             ," 113 Nguyễn Văn Trỗi, thành phố Quy Nhơn, tỉnh Bình Định       ", 0913.432.919
,,,,,
,,,,,
Chả cá hấp ,Tốt,4, Cơ sở Chả cá Thanh Vân 2             ," Lô E (44,45,46,47) đường Điện Biên Phủ, TP. Quy Nhơn, tỉnh Bình Định       ", 0868.218.999
,,,,,
,,,,,
Chả cá chiên ,Tốt,4, Cơ sở Chả cá Thanh Vân 2             ," Lô E (44,45,46,47) đường Điện Biên Phủ, TP. Quy Nhơn, tỉnh Bình Định       ", 0868.218.999
,,,,,
,,,,,
Cá viên chiên ,Tốt,4, Cơ sở Chả cá Thanh Vân 2             ," Lô E (44,45,46,47) đường Điện Biên Phủ, TP. Quy Nhơn, tỉnh Bình Định       ", 0868.218.999
,,,,,
,,,,,
Yến sào Đại Việt- Tổ yến chưng ,Tốt,3, Công ty TNHH Yến sào Đại Việt      ," 247 Tăng Bạt Hổ, thành phố Quy Nhơn, tỉnh Bình Định       ", 02563.823.412
,,,,,
,,,,,
Yến sào Đại Việt- Tổ yến tinh ,Tốt,3, Công ty TNHH Yến sào Đại Việt      ," 247 Tăng Bạt Hổ, thành phố Quy Nhơn, tỉnh Bình Định       ", 02563.823.412
,,,,,
,,,,,
Chả cá Cù lao xanh ,Tốt,3, HTX Thủy sản Nhơn Châu     ," Thôn Đông, xã Nhơn Châu, thành phố Quy Nhơn, tỉnh Bình Định       ", 0362.262.033
,,,,,
,,,,,
Trà Đinh lăng túi lọc Phúc An ,Tốt,3, Công ty TNHH Thái An Bình Định     ," 16 Thanh Niên, thành phố Quy Nhơn, tỉnh Bình Định       ", 0977.301.467
,,,,,
,,,,,
Nước rau câu ,Tốt,3, HTX dịch vụ du lịch thủy sản Nhơn Hải     ," Thôn Hải Bắc, xã Nhơn Hải, thành phố Quy Nhơn, tỉnh Bình Định       ", 0394.777.811
