BusinessField,Description,OCOPRating,Name,Address,PhoneNumber
Cây Mai cảnh ,Tốt,4, Hộ Trần Văn Hòa             ," Xã Nhơn An, thị xã An Nhơn, tỉnh Bình Định       ", 0935.997.577   
Bún song thằn Lý Thị Hương ,Tốt,4, Cơ sở Tạ Thị Đắt             ," Xã Nhơn Phúc, thị xã An Nhơn, tỉnh Bình Định       ", 0982.797.527  
Súng thần công (đồng kim loại) ,Tốt,4, Công ty TNHH thương mại Dịch vụ Đường Minh             ," Phường Đập Đá, thị xã An Nhơn, tỉnh Bình Định       ", 0908.799.247  
Nón Lá Gò Găng ,Tốt,3, Hộ Nguyễn Thị Đúng             ," Phường Nhơn Thành, thị xã An Nhơn, tỉnh Bình Định       ", 0985.979.274  
Rượu Bàu Đá ,Tốt,3, Cơ sở Hoa Thưởng            ," Xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0385.012.379
Rượu vang Berifoods ,Tốt,3, Công ty TNHH Thực phẩm Trương Gia           ," Xã Nhơn Thọ, thị xã An Nhơn, tỉnh Bình Định       ", 0908.814.438
Dưa các loại ,Tốt,3, HTX NN II Nhơn Thọ          ," Xã Nhơn Thọ, thị xã An Nhơn, tỉnh Bình Định       ", 0935.034.203
Rau an toàn Lá Lành ,Tốt,3, THT sản xuất rau an toàn          ," Phường Nhơn Hưng, thị xã An Nhơn, tỉnh Bình Định       ", 0964.702.177
Dầu phộng Nhơn Hậu ,Tốt,3, HTX nông nghiệp Nhơn Hậu         ," Thôn Vân Sơn, xã Nhơn Hậu, thị xã An Nhơn, tỉnh Bình Định       ", 02563.993.558
Rượu Bàu Đá BIDIR Hoàng Long ,Tốt,4, Công ty TNHH BIDIR Hoàng Long         ," Thôn Nhơn Nghĩa Đông, xã Nhơn Phúc, thị xã An Nhơn, tỉnh Bình Định       ", 0906.454.927
Rượu đậu xanh BIDIR Hoàng Long ,Tốt,4, Công ty TNHH BIDIR Hoàng Long         ," Thôn Nhơn Nghĩa Đông, xã Nhơn Phúc, thị xã An Nhơn, tỉnh Bình Định       ", 0906.454.927
Rượu nếp mới BIDIR Hoàng Hậu ,Tốt,4, Công ty TNHH BIDIR Hoàng Long         ," Thôn Nhơn Nghĩa Đông, xã Nhơn Phúc, thị xã An Nhơn, tỉnh Bình Định       ", 0906.454.927
Rượu Bàu Đá Thành Tâm (Rượu gạo) ,Tốt,3, Cơ sở Rượu Bàu Đá Thành Tâm         ," Thôn Thọ Lộc 1, xã Nhơn Thọ, thị xã An Nhơn, tỉnh Bình Định       ", 0914.140.178
