BusinessField,OCOPRating,Description,Name,Address,PhoneNumber
Cá Ngừ đại dương ,4,Tốt, Công ty TNHH Hải Nguyên              ," Xã Tam Quan Bắc, huyện Hoài Nhơn, tỉnh Bình Định       ", 0914.004.373     
Cá Ngừ đại dương ,4,Tốt, Công ty TNHH Tân Xuân Lộc              ," Xã Tam Quan Bắc, huyện Hoài Nhơn, tỉnh Bình Định       ", 0914.303.594    
Nước mắm Như Hoa ,4,Tốt, Cơ sở nước nắm Như Hoa             ," Xã Tam Quan Bắc, huyện Hoài Nhơn, tỉnh Bình Định       ", 0914.089.063   
Yến sào ,3,Tốt, Công ty TNHH Yến sào Tam Quan            ," Xã Tam Quan Bắc, huyện Hoài Nhơn, tỉnh Bình Định       ", 0935.759.879
Yến sào ,3,Tốt, Hộ kinh doanh Minh Thành            ," Xã Tam Quan Bắc, huyện Hoài Nhơn, tỉnh Bình Định       ", 0983.565.207
Nước nắm 24 Tân Thịnh ,3,Tốt, Cơ sở nước mắm 24 Tân Thịnh            ," Xã Hoài Thanh, huyện Hoài Nhơn, tỉnh Bình Định       ", 0984.569.007
Nước mắm Như Mười ,3,Tốt, Cơ sở nước nắm Như Mười            ," Xã Tam Quan Bắc, huyện Hoài Nhơn, tỉnh Bình Định       ", 0934.363.667
Nước mắm Minh Nhạn ,3,Tốt, Cơ sở nước mắm Minh Nhạn            ," Xã Hoài Hương, huyện Hoài Nhơn, tỉnh Bình Định       ", 02563.868.523
Trứng vịt hột Hoài Mỹ ,3,Tốt, Hội nông dân xã Hoài Mỹ            ," Xã Hoài Mỹ, huyện Hoài Nhơn, tỉnh Bình Định       ", 0982.255.265
Bánh Tráng nước dừa Ba Quan ,3,Tốt, Hộ kinh doanh Lê Thị Hiệp            ," Xã Hoài Hảo, huyện Hoài Nhơn, tỉnh Bình Định       ", 0392.414.215
Bánh hồng ,3,Tốt, Cơ sở Thanh Bình            ," Thị trấn Tam Quan, huyện Hoài Nhơn, tỉnh Bình Định       ", 02563.865.204
Bánh hồng ,3,Tốt, Cơ sở Bà Điền            ," Thị trấn Tam Quan, huyện Hoài Nhơn, tỉnh Bình Định       ", 0977.515.597
Mè xửng ,3,Tốt, Cơ sở Bà Điền            ," Thị trấn Tam Quan, huyện Hoài Nhơn, tỉnh Bình Định       ", 0977.515.597
Bánh hồng ,3,Tốt, Cơ sở Minh Đức           ," Xã Tam Quan Bắc, huyện Hoài Nhơn, tỉnh Bình Định       ", 0373.999.217
Chiếu Cói ,3,Tốt, Hộ kinh doanh Võ Văn Lê           ," Xã Hoài Châu Bắc, huyện Hoài Nhơn, tỉnh Bình Định       ", 0374.999.638
Bánh tráng Dalop các loại ,4,Tốt, Công ty TNHH Nhân Hòa           ," Khu phố Song Khánh, phường Hoài Xuân, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0989.698.239
Bánh tráng các loại ,4,Tốt, Công ty TNHH Sachi Nguyễn           ," Khu phố 8, phường Tam Quan, thị xã  Hoài Nhơn, tỉnh Bình Định       ", 0944.665.375
Bánh cốm nếp ngự ,3,Tốt, Cơ sở sản xuất bánh kẹo Sáu Chiến           ," Khu phố 8, phường Tam Quan, thị xã  Hoài Nhơn, tỉnh Bình Định       ", 02563.665.375
Bánh tráng dừa ,3,Tốt, HTX NN Ngọc An           ," Khu phố Ngọc An Trung, phường Hoài Thanh Tây, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0986.956.932
Bún số 8 Tam Quan Nam ,3,Tốt, Hộ kinh doanh Nguyễn Văn Thanh           ," Khu phố Tăng Long 1, phường Tam Quan Nam, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0979.135.089
Dầu phộng tinh khiết ,3,Tốt, HKD Bến Đá (Dương Quang Cảnh)           ," Thôn Bình Đê, xã Hoài Châu Bắc, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0919.378.537
Bình hoa composit Thanh Duy ,3,Tốt, Hộ kinh doanh Nguyễn Thị Ngọc           ," Thôn Lương Thọ 1, xã Hoài Phú, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0982.755.404
Chiếu cói ,3,Tốt, Hộ kinh doanh Lý Văn Khánh           ," Thôn Gia An Đông, xã Hoài Châu Bắc, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0982.166.459
Các sản phẩm Song mây mỹ nghệ Nhân Hòa ,4,Tốt, Công ty TNHH Nhân Hòa           ," Phường Hoài Xuân, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0989.698.239
Dầu dừa tinh khiết các loại ,4,Tốt, HTX nông nghiệp Ngọc An          ," Khu phố Ngọc An Trung, P. Hoài Thanh Tây, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0986.956.932
Chuối Mốc Hoài Sơn ,4,Tốt, HTX nông nghiệp Hoài Sơn         ," Thôn An Hội, xã Hoài Sơn, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0869.771.653
Bưởi da xanh ,3,Tốt, Hộ kinh doanh Dương Đình Tá         ," Khu phố Định Bình Nam, P. Hoài Đức, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0707.203.469
Bánh tráng Gạo mè Phương Nguyên ,3,Tốt, Công ty TNHH Phương Nguyên Việt Nam        ," KP Trường An 1, P. Hoài Thanh, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0984.569.007
Bánh tráng Gạo mè Ngọc Huệ ,3,Tốt, Cơ sở sản xuất bánh tráng Ngọc Huệ         ," Khu phố Đệ Đức 2, P. Hoài Tân, thị xã Hoài Nhơn, tỉnh Bình Định           ", 0972.425.565
Dừa nướng Thanh Bình ,3,Tốt, Cơ sở sản xuất Dừa dòn Thanh Bình        ," Khu phố Giao Hội 2, P. Hoài Tân, thị xã Hoài Nhơn, tỉnh Bình Định           ", 02563.564.633
Dừa nướng Thanh Phương ,3,Tốt, Cơ sở sản xuất Dừa dòn Thanh Phương      ," Khu phố An Dinh 1, P. Hoài Thanh, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0915.067.500
Phở Gạo Lức Thảo Nguyên ,3,Tốt, Cơ sở SX Phở gạo khô Thảo Nguyên       ," KP Cửu Lợi Bắc, P. Tam Quan Nam, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0915.067.500
Phở Gạo Rau Củ Quả Thảo Nguyên ,3,Tốt, Cơ sở SX Phở gạo khô Thảo Nguyên       ," KP Cửu Lợi Bắc, P. Tam Quan Nam, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0915.067.500
Nước mắm Bếp Xưa ,4,Tốt, Công ty TNHH SXTM Hưng Thịnh Đạt       ," KP Phụng Du 2, P. Hoài Hảo, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0935.900.990
Nếp ngự Hoài Sơn ,3,Tốt, HTX Nông nghiệp Hoài Sơn       ," Thôn An Hội, xã Hoài Sơn, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0983.595.267
Nước mắm truyền thống Hoài Hải ,3,Tốt, HTX Nước mắm truyền thống Hoài Hải       ," Thôn Kim Giao Nam, xã Hoài Hải, thị xã Hoài Nhơn, tỉnh Bình Định       ", 0975.574.839
Trà gạo lứt hoa nhài cô Ba ,3,Tốt, Cơ sở Ngũ cốc – Trà hoa Cô Ba Bình Định      ," Thôn Cự Lễ, phường Hoài Hảo, thị xã  Hoài Nhơn, tỉnh Bình Định       ", 0934.805.730
Bột ngũ cốc cô Ba ,3,Tốt, Cơ sở Ngũ cốc – Trà hoa Cô Ba Bình Định      ," Thôn Cự Lễ, phường Hoài Hảo, thị xã  Hoài Nhơn, tỉnh Bình Định       ", 0934.805.730
